Number,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Creator,Creation Date,Modifier,Modification Date
2:5,Translate conceptual model into quantitative model. Decision point: what modelling structure is used…,Translate conceptual model into quantitative model. Decision point: what modelling structure is used. What is in or out of scope. ,case 2,"3.6-formalise_specify_model: specify formal model, decision_point",2,,209,339,egould,21/04/2020,egould,21/04/2020
3:5,Usually at same time as step 2. Collate available data sources that could be used to parameterise th…,Usually at same time as step 2. Collate available data sources that could be used to parameterise the model. ,case 3,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,,209,318,egould,21/04/2020,egould,21/04/2020
4:5,Use hierarchy of data. - Published literature / grey on species in same location. - Data on same spe…,Use hierarchy of data. - Published literature / grey on species in same location. - Data on same species but different location. - Similar species same or different location but relevant. - expert elicited estimates.,case 4,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, 3.1-formalise_specify_model: choose model class, framework and approach, decision_point",3,,209,425,egould,21/04/2020,egould,21/04/2020
5:5,Parameterise model using various methods depending on data sources. This may include development of…,Parameterise model using various methods depending on data sources. This may include development of statistical models. Evaluate model behaviour given input estimates in collaboration with experts. ,case 5,"4.3-model_calibration_fitting_checking: Implementation verification, decision_point",2,"""Parameterise model using various methods depending on data sources. This may include development of statistical models.""The form of evaluation described here is not checking but evaluation in the commmonky used sense.Highlights the iterative nature of model development",209,407,egould,21/04/2020,egould,21/04/2020
6:5,Identify alternative management alternatives (often with end users). Set up model scenarios for comp…,Identify alternative management alternatives (often with end users). Set up model scenarios for comparison and run.,case 6,"1.4-problem_formulation: define candidate actions decisions, 1.5-problem_formulation: specify scenarios, 6.3-model_application: Scenario analysis and simulation, decision_point",4,"This is interesting that the step was listed in practice as occurring after model development and parameterisation. I think this is important… Moallemi say it should go first, in the problem formulation phase, and I think that it should go there too in order to avoid any sort of QRP’s. However, I guess maybe there are insights that can be gained from the knowledge development process that might inform whether the candidate actions and scenarios are relevant / need to be altered and refined to match the nuances of the model. Perhaps there could be a stage in model evaluation that involves reviewing the specified scenarios and candidate actions.",209,324,egould,21/04/2020,egould,21/04/2020
7:5,Sensitivity analysis. Evaluate model sensitivity using 3 methods. - deterministic sensitivity (vital…,Sensitivity analysis. Evaluate model sensitivity using 3 methods. - deterministic sensitivity (vital rates). - Stochastic sensitivity (variability in the model). - Scenario sensitivity (effect of changes based on scenarios).,case 7,"5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis, decision_point",2,,209,433,egould,21/04/2020,egould,21/04/2020
8:5,Expert Evaluation of of rankings of scenarios and model behaviour.,Expert Evaluation of of rankings of scenarios and model behaviour.,case 8,"6.1-model_application: choose performance criteria for scenario analysis, 6.2-model_application: expert / client / stakeholder evaluation, decision_point",3,"Is this an additional phase or step here? Some at the workshop thought that there was a missing component at the end of the model development cycle, and that was to evaluate with the experts, stakeholders or clients.",209,275,egould,21/04/2020,egould,21/04/2020
9:8,who is this for? Who is involved in formulation? Who needs buy in.,who is this for? Who is involved in formulation? Who needs buy in.,case 9,"1.2-problem_formulation: specify modelling context, group_sheet_decision_point",2,,301,367,egould,21/04/2020,egould,21/04/2020
11:5,"Learn what the questions were originally and what was done, including and constraints with the data.","Learn what the questions were originally and what was done, including and constraints with the data. ",case 11,"1.2-problem_formulation: specify modelling context, 1.3.1-problem_formulation: explain analytical objectives, decision_point, PRT item",4,pre-existing data. Taking over a project.,295,396,egould,21/04/2020,egould,21/04/2020
12:5,"Understand the data: how many samples, how arranged, replication, variation, covariates. Includes so…","Understand the data: how many samples, how arranged, replication, variation, covariates. Includes some data summary figures / tables. Discuss with data collectors.",case 12,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,,295,458,egould,21/04/2020,egould,21/04/2020
13:5,Design an analysis approach to test . Evaluate the original question that the data are able to suppo…,Design an analysis approach to test . Evaluate the original question that the data are able to support. Discuss with data collectors.,case 13,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, 2.6-define_conceptual_model: iterative link, decision_point",3,,295,428,egould,21/04/2020,egould,21/04/2020
15:12,"Conduct analysis, including confirming correct assumptions are met","Conduct analysis, including confirming correct assumptions are met ",case 15,"4.3-model_calibration_fitting_checking: Implementation verification, 4.4-model_calibration_fitting_checking: model checking",2,,295,362,egould,23/04/2020,egould,23/04/2020
15:13,and then evaluate model fit or performance.,and then evaluate model fit or performance.,case 15,5.6-model_validation_evaluation: evaluate model outputs,1,,362,405,egould,23/04/2020,egould,23/04/2020
18:5,Check final with someone.,Check final with someone.,case 18,"6.2-model_application: expert / client / stakeholder evaluation, decision_point",2,"Again, this might need to be an extra step within the final phase or a new phase - presenting the final model and results to stakeholders, clients, experts, etc.",295,320,egould,21/04/2020,egould,21/04/2020
20:5,Identify variables relevant to the conceptual framework.,Identify variables relevant to the conceptual framework.,case 20,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,,123,179,egould,21/04/2020,egould,21/04/2020
21:5,"Write a draft statistical analysis plan, identify likely analyses / approach to undertake + key feat…","Write a draft statistical analysis plan, identify likely analyses / approach to undertake + key features / outputs + tables.",case 21,"3.1-formalise_specify_model: choose model class, framework and approach, decision_point",2,,123,247,egould,21/04/2020,egould,21/04/2020
22:5,"Data importing, cleaning + query any.","Data importing, cleaning + query any.",case 22,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,I’ve put this in ‘define conceptual model’ because of the data specification step that is included as one of my suggested decision steps for this workflow.,123,160,egould,21/04/2020,egould,21/04/2020
23:5,"For each analysis, graph the relationship of each ?predictor marginally & then look at interactions.","For each analysis, graph the relationship of each ?predictor marginally & then look at interactions.",case 23,"2.3-define_conceptual_model: identify predictor response variables, 2.6-define_conceptual_model: iterative link, data_exploration, decision_point",4,"Again, I’ve included this exploratory / preliminary plotting in define_coneptual_model for the time-being. But we might need to add an extra step to the phase since this issue has come up on several occasions.Perhaps this involves some back-and-forthing between formalising and specifying the model, and identifying variables… ",123,223,egould,21/04/2020,egould,21/04/2020
24:5,Perform statistical model in SAP (statistical analysis plan).,Perform statistical model in SAP (statistical analysis plan).,case 24,"3.1-formalise_specify_model: choose model class, framework and approach, decision_point",2,,123,184,egould,21/04/2020,egould,21/04/2020
25:12,and assumptions,and assumptions,case 25,"4.3-model_calibration_fitting_checking: Implementation verification, 4.4-model_calibration_fitting_checking: model checking",2,"""Assess statistiacl model for […] assumptions""",156,171,egould,23/04/2020,egould,23/04/2020
26:5,"Revise statistical model based on violations to assumptions, misfit","Revise statistical model based on violations to assumptions, misfit",case 26,"4.5-model_calibration_fitting_checking: model fitting and calibration, decision_point",2,"Again, need extra step insierted at the end of model validation to deal with instances where the model needs to be revised.",123,190,egould,21/04/2020,egould,21/04/2020
27:5,Perform model comparison of key flow metrics,Perform model comparison of key flow metrics,case 27,"6.2-model_application: expert / client / stakeholder evaluation, decision_point",2,Or is this evaluating model outputs?? Need to check this definition here?,123,167,egould,21/04/2020,egould,21/04/2020
28:5,Graphical representat results,Graphical representat results,case 28,"4.0-model_calibration_fitting_checking, 5.2-model_validation_evaluation: model analysis, 6.3-model_application: Scenario analysis and simulation, decision_point",4,"This could equally to apply to all of these three phases, however we could have a step in the PRT’s that asks the researcher to document in the preregistration the expected plots of results that will be drawn.",123,152,egould,21/04/2020,egould,21/04/2020
30:13,Discuss with client,Discuss with client,case 30,6.2-model_application: expert / client / stakeholder evaluation,1,This is where we need an extra step in the model aplication process… working with the client on the final model and analysis outputs.,142,161,egould,23/04/2020,egould,23/04/2020
31:5,Defining key evaluation and research questions. Evaluation questions relate to evaluating responses…,"Defining key evaluation and research questions. Evaluation questions relate to evaluating responses to e-water, research questions to understanding how and why things vary.",case 31,"1.1-problem_formulation: define model purpose, 1.2-problem_formulation: specify modelling context, 1.3.1-problem_formulation: explain analytical objectives, decision_point, PRT item",5,,362,534,egould,21/04/2020,egould,21/04/2020
32:5,Conceptual model being developed to outline predictions -> Justify inclusion / exclusion of predicto…,Conceptual model being developed to outline predictions -> Justify inclusion / exclusion of predictors and covariates. Capture ecologiacl understanding about systems.,case 32,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,"This is an important component for the preregistration — users must justify their inclusion of particular variables under consideration, and explain why they chose to exclude others.It’s interesting that this person has noted that justification is important for a predictive model.. I wonder whether it’s only important in that context.",362,528,egould,21/04/2020,egould,21/04/2020
33:5,Statistical analysis plan deeloped. -> Outline techniques to be used to answer different questions -…,Statistical analysis plan deeloped. -> Outline techniques to be used to answer different questions -> Limitations / constraints of data.,case 33,"3.1-formalise_specify_model: choose model class, framework and approach, decision_point",2,,362,498,egould,21/04/2020,egould,21/04/2020
36:5,Analysis - evaluation of models assumptions etc.,Analysis - evaluation of models assumptions etc.,case 36,"5.6-model_validation_evaluation: evaluate model outputs, decision_point",2,,362,410,egould,21/04/2020,egould,21/04/2020
36:12,models assumptions,models assumptions,case 36,4.4-model_calibration_fitting_checking: model checking,1,,387,405,egould,23/04/2020,egould,23/04/2020
37:5,Evaluation of evidence in light of REQs,Evaluation of evidence in light of REQs,case 37,"6.3-model_application: Scenario analysis and simulation, decision_point",2,Attempt to answer research questions with model and model evaluation output. (I count ‘evidence’ as referring to both of these things). REQ == “research questions”.,361,400,egould,21/04/2020,egould,21/04/2020
38:5,What decisions / actions does the manager / client need to make?,What decisions / actions does the manager / client need to make?,case 38,"1.1-problem_formulation: define model purpose, decision_point",2,Decision trigger & regulatory framework.,152,216,egould,21/04/2020,egould,21/04/2020
39:5,What variables will support this decision / action? (Things we can control),What variables will support this decision / action? (Things we can control),case 39,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,"This could plausibly go into the problem formulation phase, but since we are talking about ‘variables’, i’m going to include this under the conceptual model definition phase.",142,217,egould,21/04/2020,egould,21/04/2020
40:5,What additional variables may interact in this system? (Things we can't control but hopefully measur…,What additional variables may interact in this system? (Things we can't control but hopefully measure),case 40,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,,142,244,egould,21/04/2020,egould,21/04/2020
41:5,In what ways do we expect these variables to interact? (Model structures),In what ways do we expect these variables to interact? (Model structures),case 41,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,,142,215,egould,21/04/2020,egould,21/04/2020
42:5,Are there logistical or feasibility constraints?,Are there logistical or feasibility constraints?,case 42,"1.2-problem_formulation: specify modelling context, decision_point",2,,142,190,egould,21/04/2020,egould,21/04/2020
44:5,How will we assess the quality / goodness of fit of the models?,How will we assess the quality / goodness of fit of the models?,case 44,"4.2-model_calibration_fitting_checking: choose performance criteria, decision_point",2,“Choose Performance Criteria” step.,143,206,egould,21/04/2020,egould,21/04/2020
45:5,"If needed, how will we choose a preferred model or composite model?","If needed, how will we choose a preferred model or composite model?",case 45,"3.4-Choose approach for identifying model structure and parameters, 4.2-model_calibration_fitting_checking: choose performance criteria, decision_point",3,I’ve included it here due to Jakeman’s note about this step: “this step ideally involves hypothesis testing of alternative model structures.,143,210,egould,21/04/2020,egould,21/04/2020
46:5,How will we identify which model components are significant / meaningful?,How will we identify which model components are significant / meaningful?,case 46,"4.2-model_calibration_fitting_checking: choose performance criteria, decision_point",2,"This is important - because it involves pre-specifying how we will interpret the fitted or quantitative model to avoid cognitive biases like confirmation bias, HARKing or other questionable research practices.",143,216,egould,21/04/2020,egould,21/04/2020
47:5,"What is the gap between this model conception and the real-world problem, & what biases might this i…","What is the gap between this model conception and the real-world problem, & what biases might this introduce?",case 47,"3.7-formalise_specify_model: Specify model assumptions and uncertainties, decision_point",2,"This is a really good point, and I think a good place to answer this question would be at the end of ‘specify formal model'",143,252,egould,21/04/2020,egould,21/04/2020
48:5,How are uncertainty & variation represented in this model?,How are uncertainty & variation represented in this model?,case 48,"2.2:define_conceptual_model: specify key assumptions uncertainties, 3.7-formalise_specify_model: Specify model assumptions and uncertainties, decision_point, documentation_manuscript-7",4,"Not quite sure which phase this speaks to. I’ve included it under formalise and specify model, because I think answering this question can aid design-choices when transforming the conceptual model to the quantitative model and choosing how to operationalise and represent these variables.",143,201,egould,21/04/2020,egould,21/04/2020
49:5,What is the risk attitude within this management system?,What is the risk attitude within this management system?,case 49,"6.1-model_application: choose performance criteria for scenario analysis, decision_point",2,"And why is this important? Does it inform how you specify the formal model, or is it more important for eavluating the model analysis outputs?",143,199,egould,21/04/2020,egould,21/04/2020
50:5,What advice / support can we offer to the manager / decision-maker based on our findings?,What advice / support can we offer to the manager / decision-maker based on our findings?,case 50,"6.2-model_application: expert / client / stakeholder evaluation, 6.3-model_application: Scenario analysis and simulation, decision_point",3,"How do we interpret the model outputs? Should there be some a priori decisions about how we interpret the model findings, and how does case 49 about the risk attitude inform how the analyst interprets the model findings?",143,232,egould,21/04/2020,egould,21/04/2020
52:5,Determine spatial and temporal scales required.,Determine spatial and temporal scales required.,case 52,"1.2-problem_formulation: specify modelling context, decision_point",2,,288,335,egould,21/04/2020,egould,21/04/2020
53:8,Expectation management (difference between applied science & science),Expectation management (difference between applied science & science),case 53,"1.2-problem_formulation: specify modelling context, group_sheet_decision_point",2,Expectation management… need further clarification on this. may consult my thematic analysis and workshop scribe notes on this. Or get back to co-authors. Can proper scoping and problem specification aid in this? ANd in ensuring the model-user / client gets what they need from the modelling exercise?,379,448,egould,21/04/2020,egould,21/04/2020
54:5,"Develop conceptual model linking ""waterway health"" and ""deterioration"" to natural variability in wat…","Develop conceptual model linking ""waterway health"" and ""deterioration"" to natural variability in waterway health etc.",case 54,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,Proper problem specification involving careful thought and definition about key terms can likely help with defining the conceptual model appropriately. ,288,405,egould,21/04/2020,egould,21/04/2020
55:5,"Identify possible indicators (and their individual notions of ""deterioration"")","Identify possible indicators (and their individual notions of ""deterioration"")",case 55,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,"I was unclear as to whether this constitutes problem formulation phase or the specification of the conceptual model. Or even the process of taking the conceptual model to the formal model…, i.e. operationalising variables according to whether we can measure and quantify them meaningfully.",288,366,egould,21/04/2020,egould,21/04/2020
56:5,trawl for data,trawl for data,case 56,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,"“Prior knowledge, data specification and evaluation""",288,302,egould,21/04/2020,egould,21/04/2020
57:5,Build statewide dataset,Build statewide dataset,case 57,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,"“Prior knowledge, Data specification and evaluation""",288,311,egould,21/04/2020,egould,21/04/2020
58:5,Build feasible statistical models,Build feasible statistical models,case 58,"3.6-formalise_specify_model: specify formal model, decision_point",2,"What does “feasible” mean in this case? Workign within the bounds of logistical and feasibility constraints identified in the problem formulation phase?""",288,321,egould,21/04/2020,egould,21/04/2020
59:5,Run models for all inidcators (in all river basins),Run models for all inidcators (in all river basins),case 59,"4.5-model_calibration_fitting_checking: model fitting and calibration, decision_point",2,,288,339,egould,21/04/2020,egould,21/04/2020
60:5,"Idenity broad statistical model structure, including specification for tests of ""deterioration"" and…","Idenity broad statistical model structure, including specification for tests of ""deterioration"" and ""re?? Related to flow"".",case 60,"3.6-formalise_specify_model: specify formal model, decision_point",2,,288,411,egould,21/04/2020,egould,21/04/2020
60:12,"including specification for tests of ""deterioration"" and ""re?? Related to flow""."," including specification for tests of ""deterioration"" and ""re?? Related to flow"".",case 60,6.1-model_application: choose performance criteria for scenario analysis,1,What are our performance measures for   analysing and evaluating the model outputs / scenario analysis? How do we decide whether our variables of interest have declined in quality or not?,330,411,egould,23/04/2020,egould,23/04/2020
61:5,"Extract specific tests on ""deterioration"" and ""rec? related to flow""","Extract specific tests on ""deterioration"" and ""rec? related to flow""",case 61,"6.3-model_application: Scenario analysis and simulation, decision_point",2,,288,356,egould,21/04/2020,egould,21/04/2020
62:5,Provide synthesis at higher level than every riser basin x indicator combinatino,Provide synthesis at higher level than every riser basin x indicator combinatino,case 62,"6.3-model_application: Scenario analysis and simulation, decision_point",2,,288,368,egould,21/04/2020,egould,21/04/2020
63:5,Identify key outliers especially strongest examples of deterioration,Identify key outliers especially strongest examples of deterioration,case 63,"6.3-model_application: Scenario analysis and simulation, decision_point",2,,288,356,egould,21/04/2020,egould,21/04/2020
64:5,Consult a range of stakeholders through a series of workshops,Consult a range of stakeholders through a series of workshops,case 64,"6.1-model_application: choose performance criteria for scenario analysis, 6.2-model_application: expert / client / stakeholder evaluation, decision_point",3,,288,349,egould,21/04/2020,egould,21/04/2020
69:5,"Variable selection within expert groups. 3x a priori woodland types. Floodplains, grassy woodland, o…","Variable selection within expert groups. 3x a priori woodland types. Floodplains, grassy woodland, obligate seeders. Question: do these states occur in your geographic area of expertise? Do these transitions occur?",case 69,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,,339,553,egould,21/04/2020,egould,21/04/2020
70:5,"Collating transition models - by group, by area. Counts of number of times transition + state occurr…","Collating transition models - by group, by area. Counts of number of times transition + state occurred across models. Reconvene as a group.",case 70,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,,339,478,egould,21/04/2020,egould,21/04/2020
71:5,"Transition by type analysis - graphical analysis. For each transiiton, what was its distribution acr…","Transition by type analysis - graphical analysis. For each transiiton, what was its distribution across functioal types? Proportion of people's STM's in which the transition occurred. How likely is the transition (elicited) -> average.",case 71,"2.3-define_conceptual_model: identify predictor response variables, decision_point",2,,339,574,egould,21/04/2020,egould,21/04/2020
72:5,"States by Type analysis. Again, look at the proportion of ppl's models in which this occurred. How l…","States by Type analysis. Again, look at the proportion of ppl's models in which this occurred. How likely is the state (elicit): sum + average.",case 72,"3.6-formalise_specify_model: specify formal model, decision_point",2,What aggregation measures will you use to analyse your data?,339,482,egould,21/04/2020,egould,21/04/2020
73:5,Discretising / threshold x state and transition. If below 50% then discount. -> But remember there w…,Discretising / threshold x state and transition. If below 50% then discount. -> But remember there was an issue about how we leicited the (verbal probabilities) & what they meant.,case 73,"3.6-formalise_specify_model: specify formal model, decision_point",2,These items from the woodland modelling project might be useful for discretising items in the ‘define conceptual model’ part of the template.Will you discretise any variables? How will you discretise them?,339,518,egould,21/04/2020,egould,21/04/2020
75:8,"Conceptual model in 3 parts: controllable variables, uncontrollable variables, variables that intera…","Conceptual model in 3 parts: controllable variables, uncontrollable variables, variables that interact.",case 75,"2.3-define_conceptual_model: identify predictor response variables, group_sheet_decision_point",2,,248,351,egould,21/04/2020,egould,21/04/2020
76:8,"Often described in different ways: pictures, words, etc.","Often described in different ways: pictures, words, etc.",case 76,"2.1-define_conceptual_model: choose elicitation and representation method, group_sheet_decision_point",2,"This step could also refer to the way in which model variables and structure will be identified, not just how we choose to elicit ‘mental’ models. E.g. we would need preregistration users to specify that they were going to use a ‘naive bayes classification’ model, for example, to find model structure, or some structure learning algorithm.",163,219,egould,21/04/2020,egould,21/04/2020
77:8,Should be / is often done in conjunction with client / manager / user,Should be / is often done in conjunction with client / manager / user,case 77,"2.2:define_conceptual_model: specify key assumptions uncertainties, group_sheet_decision_point",2,,163,232,egould,21/04/2020,egould,21/04/2020
78:8,iterative links between problem formulation phase and define conceptual model,iterative links between problem formulation phase and define conceptual model,case 78,"1-problem_formulation, 2.0-define_conceptual_model, 2.6-define_conceptual_model: iterative link, group_sheet_decision_point",4,,163,240,egould,21/04/2020,egould,21/04/2020
81:8,"Applies to phase description: Largely influenced by school of thinking, what you like, what you know…","Applies to phase description: Largely influenced by school of thinking, what you like, what you know / are used to, what client wants",case 81,"3.1-formalise_specify_model: choose model class, framework and approach, group_sheet_decision_point, PRT-approach",3,"Thus, a question that addresses this, is “justify and explain why you chose this modelling method.",383,516,egould,21/04/2020,egould,21/04/2020
86:8,performance metric needs to be sensitive to the problem,performance metric needs to be sensitive to the problem,case 86,"4.2-model_calibration_fitting_checking: choose performance criteria, group_sheet_decision_point",2,"“Choose Performance Criteria""",305,360,egould,21/04/2020,egould,21/04/2020
87:8,expert has more / different expectations from models than non-expert,expert has more / different expectations from models than non-expert,case 87,"3.7-formalise_specify_model: Specify model assumptions and uncertainties, group_sheet_decision_point",2,Add step to phase to deal with different expectations between expert / non-expert stakeholder / client etc?,305,373,egould,21/04/2020,egould,21/04/2020
88:8,3 levels of hypothesis,3 levels of hypothesis,case 88,"3.6-formalise_specify_model: specify formal model, group_sheet_decision_point",2,,383,405,egould,21/04/2020,egould,21/04/2020
91:8,"""Laugh Test"" Does model fit needs of client / user? Is some form of validation?","""Laugh Test"" Does model fit needs of client / user? Is some form of validation?",case 91,"5.0-model_validation_evaluation, 6.2-model_application: expert / client / stakeholder evaluation, group_sheet_decision_point",3,Not quite certain where this should fall under. Speaks to ‘missing step or phase’ that were identified in the workshop.,387,466,egould,21/04/2020,egould,21/04/2020
92:1,checking model assumptions and assessing potential lack of fit,checking model assumptions and assessing potential lack of fit,Conn-2018-Ecol_Monogr.pdf,4.4-model_calibration_fitting_checking: model checking,1,,1:1234,1:1296,egould,29/04/2020,egould,29/04/2020
92:2,"Alternatively, lesser known approaches to model checking, such as prior predictive checks, cross-val…","Alternatively, lesser known approaches to model checking, such as prior predictive checks, cross-validation probabil- ity integral transforms, and pivot discrepancy measures may produce more accurate characterizations of goodness-of-fit but are not as well known to ecologists",Conn-2018-Ecol_Monogr.pdf,4.4-model_calibration_fitting_checking: model checking,1,,1:1666,1:1942,egould,29/04/2020,egould,29/04/2020
